step,timestamp,clearing_price,tax_revenue,fee_revenue
0,09:30:00,0.03312056445187757,2750.021430209839,15.705360230038767
1,09:45:00,0.03475865418220509,314.06912400503506,21.196811798000883
2,10:00:00,0.021725710582224618,29.83199328101789,21.562796765301304
3,10:15:00,0.02488655557584984,18.97570050581161,21.702913149811913
4,10:30:00,0.04789203440973288,690.6624977396294,15.638508445942882
5,10:45:00,0.05146661086868809,135.9280372951907,17.05193347680518
6,11:00:00,0.049196524232552635,42.60660246831607,17.63729031525942
7,11:15:00,0.049502698792428024,26.180498785244872,17.47582670134672
8,11:30:00,0.039648024008999465,484.8666597070652,15.690457171276092
9,11:45:00,0.02900554421224237,66.71982792092123,16.27124005952162
10,12:00:00,0.02859724475291652,11.24305348762262,16.829171306569908
11,12:15:00,0.02495052777095754,56.3851746811096,16.150110119046886
12,12:30:00,0.03221437502321274,345.5051591363599,19.108871642271467
13,12:45:00,0.028002069203388383,47.503287232654934,20.07740501875717
14,13:00:00,0.02624503674710593,9.44922813591995,19.866572064643613
15,13:15:00,0.03168606266665358,7.1346580327611875,19.769968400542535
16,13:30:00,0.02188439874931318,167.9801574043301,16.771885192023927
17,13:45:00,0.022883269843831773,28.44191309836699,16.57750635831884
18,14:00:00,0.025796655158152305,61.4970427015019,18.131528040502236
19,14:15:00,0.009835002496143087,17.62097109221958,16.699069515954374
20,14:30:00,0.025265584543897195,246.83910565460047,14.350960212827797
21,14:45:00,0.03286530681362166,60.62816223909646,15.441152612155228
22,15:00:00,0.03457239522168129,35.29661013603823,15.68960714167805
23,15:15:00,0.03059972489029925,23.08002236602047,15.456315201169145
24,15:30:00,0.04169182720958275,236.37482133091888,16.038722899662726
25,15:45:00,0.033412940770338594,44.473055134143706,16.70800150521451
26,16:00:00,0.03975483943996694,22.669957260236288,17.076574981874284
27,16:15:00,0.04479368328402396,37.960196461617734,17.63218122351779
28,16:30:00,0.0391144197160022,224.43187633516038,16.846830284246664
29,16:45:00,0.030332105555475993,42.174287577701364,16.5806084836548
30,17:00:00,0.023093257562749863,20.802291948872014,16.815461917015476
31,17:15:00,0.026814607304239735,13.248317944743093,17.19026707596766
32,17:30:00,0.0453015875863054,200.0885917065761,15.581735279958302
33,17:45:00,0.040859034267509725,65.59319922395821,16.0223393979375
34,18:00:00,0.03877066605175152,32.055478705811694,16.726701520560688
35,18:15:00,0.03811109473196286,9.248062641751783,16.877146309301573
36,18:30:00,0.031318438555925095,71.65249860057445,15.771269715302623
37,18:45:00,0.041551247455448165,39.51845914803235,18.019162972972627
